name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q26273,Sint Maarten
,,,,,,Q214,Slovakia
,,,,,,Q215,Slovenia
,,,,,,Q685,Solomon Islands
,,,,,,Q1045,Somalia
,,,,,,Q34754,Somaliland
,,,,,,Q258,South Africa
,,,,,,Q35086,South Georgia and the South Sandwich Islands
,,,,,,Q884,South Korea
,,,,,,Q23427,South Ossetia
,,,,,,Q958,South Sudan
,,,,,,Q29,Spain
,,,,,,Q854,Sri Lanka
,,,,,,Q219060,State of Palestine
,,,,,,Q1049,Sudan
,,,,,,Q730,Suriname
,,,,,,Q25231,Svalbard
,,,,,,Q34,Sweden
,,,,,,Q39,Switzerland
,,,,,,Q858,Syria
,,,,,,Q1039,São Tomé and Príncipe
,,,,,,Q865,Taiwan
,,,,,,Q863,Tajikistan
,,,,,,Q924,Tanzania
,,,,,,Q869,Thailand
,,,,,,Q778,The Bahamas
,,,,,,Q1005,The Gambia
,,,,,,Q945,Togo
,,,,,,Q678,Tonga
,,,,,,Q907112,Transnistria
,,,,,,Q754,Trinidad and Tobago
,,,,,,Q948,Tunisia
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Abházia,,,,,,Q23334,Abházia
Afganisztán,004,AF,AFG,AFG,AFG,Q889,Afganisztán
Akrotíri és Dekélia,,,,,,Q37362,Akrotíri és Dekélia
Albánia,,,,,,Q222,Albánia
Algéria,,,,,,Q262,Algéria
Andorra,,,,,,Q228,Andorra
Anglia,,,,,,Q21,Anglia
Angola,,,,,,Q916,Angola
Anguilla,,,,,,Q25228,Anguilla
Antigua és Barbuda,,,,,,Q781,Antigua és Barbuda
Argentína,,,,,,Q414,Argentína
Aruba,,,,,,Q21203,Aruba
Ausztria,040,AT,AUT,AUT,AUT,Q40,Ausztria
Ausztrália (ország),,,,,,Q408,Ausztrália (ország)
Azerbajdzsán,,,,,,Q227,Azerbajdzsán
Bahrein,,,,,,Q398,Bahrein
Banglades,,,,,,Q902,Banglades
Barbados,,,,,,Q244,Barbados
Belgium,,,,,,Q31,Belgium
Belize,,,,,,Q242,Belize
Benin,,,,,,Q962,Benin
Bermuda,,,,,,Q23635,Bermuda
Bhután,,,,,,Q917,Bhután
Bissau-Guinea,,,,,,Q1007,Bissau-Guinea
Bolívia,,,,,,Q750,Bolívia
Bonaire,,,,,,Q25396,Bonaire
Bosznia-Hercegovina,,,,,,Q225,Bosznia-Hercegovina
Botswana,,,,,,Q963,Botswana
Brazília,,,,,,Q155,Brazília
Brit Indiai-óceáni Terület,,,,,,Q43448,Brit Indiai-óceáni Terület
Brit Virgin-szigetek,,,,,,Q25305,Brit Virgin-szigetek
Brunei,,,,,,Q921,Brunei
Bulgária,,,,,,Q219,Bulgária
Burkina Faso,,,,,,Q965,Burkina Faso
Burundi,,,,,,Q967,Burundi
Chile,,,,,,Q298,Chile
Ciprusi Köztársaság,,,,,,Q229,Ciprusi Köztársaság
Clipperton-sziget,,,,,,Q161258,Clipperton-sziget
Comore-szigetek,,,,,,Q970,Comore-szigetek
Costa Rica,,,,,,Q800,Costa Rica
Csehország,,,,,,Q213,Csehország
Csád,,,,,,Q657,Csád
Curaçao,,,,,,Q25279,Curaçao
Dominikai Köztársaság,,,,,,Q786,Dominikai Köztársaság
Dominikai Közösség,,,,,,Q784,Dominikai Közösség
Dzsibuti,,,,,,Q977,Dzsibuti
Dánia,,,,,,Q35,Dánia
Ecuador,,,,,,Q736,Ecuador
Egyenlítői-Guinea,,,,,,Q983,Egyenlítői-Guinea
Egyiptom,,,,,,Q79,Egyiptom
Eritrea,,,,,,Q986,Eritrea
Etiópia,,,,,,Q115,Etiópia
Falkland-szigetek,,,,,,Q9648,Falkland-szigetek
Fehéroroszország,,,,,,Q184,Fehéroroszország
Feröer,,,,,,Q4628,Feröer
Fidzsi-szigetek,,,,,,Q712,Fidzsi-szigetek
Finnország,,,,,,Q33,Finnország
Francia Guyana,,,,,,Q3769,Francia Guyana
Franciaország,,,,,,Q142,Franciaország
Gabon,,,,,,Q1000,Gabon
Ghána,,,,,,Q117,Ghána
Gibraltár (brit tengerentúli terület),,,,,,Q1410,Gibraltár (brit tengerentúli terület)
Grenada,,,,,,Q769,Grenada
Grönland,,,,,,Q223,Grönland
Grúzia,,,,,,Q230,Grúzia
Guadeloupe,,,,,,Q17012,Guadeloupe
Guatemala,,,,,,Q774,Guatemala
Guernsey,,,,,,Q3311985,Guernsey
Guinea,,,,,,Q1006,Guinea
Guyana,,,,,,Q734,Guyana
Görögország,,,,,,Q41,Görögország
Haiti,,,,,,Q790,Haiti
Hegyi-Karabah Köztársaság,,,,,,Q244165,Hegyi-Karabah Köztársaság
Honduras,,,,,,Q783,Honduras
Hongkong,,,,,,Q8646,Hongkong
Horvátország,,,,,,Q224,Horvátország
Kajmán-szigetek,,,,,,Q5785,Kajmán-szigetek
Kambodzsa,,,,,,Q424,Kambodzsa
Kamerun,,,,,,Q1009,Kamerun
Kanada,,,,,,Q16,Kanada
Karácsony-sziget,,,,,,Q31063,Karácsony-sziget
Kelet-Timor,,,,,,Q574,Kelet-Timor
Kolumbia,,,,,,Q739,Kolumbia
Kongói Demokratikus Köztársaság,,,,,,Q974,Kongói Demokratikus Köztársaság
Kuba,,,,,,Q241,Kuba
Kína,,,,,,Q148,Kína
Kókusz (Keeling)-szigetek,,,,,,Q36004,Kókusz (Keeling)-szigetek
Közép-afrikai Köztársaság,,,,,,Q929,Közép-afrikai Köztársaság
Mikronéziai Szövetségi Államok,,,,,,Q702,Mikronéziai Szövetségi Államok
Németország,,,,,,Q183,Németország
Salvador,,,,,,Q792,Salvador
Szváziföld,,,,,,Q1050,Szváziföld
Zöld-foki Köztársaság,,,,,,Q1011,Zöld-foki Köztársaság
Észtország,,,,,,Q191,Észtország
Örményország,,,,,,Q399,Örményország
