name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
אנטיגואה וברבודה,,,,,,Q781,אנטיגואה וברבודה
אסוואטיני,,,,,,Q1050,אסוואטיני
אסטוניה,,,,,,Q191,אסטוניה
אפגניסטן,004,AF,AFG,AFG,AFG,Q889,אפגניסטן
אקוודור,,,,,,Q736,אקוודור
אקרוטירי ודקליה,,,,,,Q37362,אקרוטירי ודקליה
ארגנטינה,,,,,,Q414,ארגנטינה
ארובה (טריטוריה),,,,,,Q21203,ארובה (טריטוריה)
אריתריאה,,,,,,Q986,אריתריאה
ארמניה,,,,,,Q399,ארמניה
אתיופיה,,,,,,Q115,אתיופיה
בהוטן,,,,,,Q917,בהוטן
בוטסואנה,,,,,,Q963,בוטסואנה
בולגריה,,,,,,Q219,בולגריה
בוליביה,,,,,,Q750,בוליביה
בונייר,,,,,,Q25396,בונייר
בוסניה והרצגובינה,,,,,,Q225,בוסניה והרצגובינה
בורונדי,,,,,,Q967,בורונדי
בורקינה פאסו,,,,,,Q965,בורקינה פאסו
בחריין,,,,,,Q398,בחריין
בלארוס,,,,,,Q184,בלארוס
בלגיה,,,,,,Q31,בלגיה
בליז,,,,,,Q242,בליז
בנגלדש,,,,,,Q902,בנגלדש
בנין,,,,,,Q962,בנין
ברבדוס,,,,,,Q244,ברבדוס
ברוניי,,,,,,Q921,ברוניי
ברזיל,,,,,,Q155,ברזיל
ברמודה,,,,,,Q23635,ברמודה
ג'יבוטי,,,,,,Q977,ג'יבוטי
ג'מייקה,,,,,,Q766,ג'מייקה
ג'רזי,,,,,,Q785,ג'רזי
גאורגיה,,,,,,Q230,גאורגיה
גאנה,,,,,,Q117,גאנה
גבון,,,,,,Q1000,גבון
גואטמלה,,,,,,Q774,גואטמלה
גוואדלופ,,,,,,Q17012,גוואדלופ
גיאנה,,,,,,Q734,גיאנה
גיאנה הצרפתית,,,,,,Q3769,גיאנה הצרפתית
גיברלטר,,,,,,Q1410,גיברלטר
גינאה,,,,,,Q1006,גינאה
גינאה ביסאו,,,,,,Q1007,גינאה ביסאו
גינאה המשוונית,,,,,,Q983,גינאה המשוונית
גרינלנד,,,,,,Q223,גרינלנד
גרמניה,,,,,,Q183,גרמניה
גרנדה (מדינה),,,,,,Q769,גרנדה (מדינה)
דומיניקה,,,,,,Q784,דומיניקה
דנמרק,,,,,,Q35,דנמרק
האי מאן,,,,,,Q9676,האי מאן
האיטי,,,,,,Q790,האיטי
האיים המלדיביים,,,,,,Q826,האיים המלדיביים
הודו,,,,,,Q668,הודו
הולנד,,,,,,Q55,הולנד
הונג קונג,,,,,,Q8646,הונג קונג
הונגריה,,,,,,Q28,הונגריה
הונדורס,,,,,,Q783,הונדורס
הטריטוריה הבריטית באוקיינוס ההודי,,,,,,Q43448,הטריטוריה הבריטית באוקיינוס ההודי
הרפובליקה הדומיניקנית,,,,,,Q786,הרפובליקה הדומיניקנית
הרפובליקה הדמוקרטית של קונגו,,,,,,Q974,הרפובליקה הדמוקרטית של קונגו
הרפובליקה המרכז-אפריקאית,,,,,,Q929,הרפובליקה המרכז-אפריקאית
הרפובליקה העממית של סין,,,,,,Q148,הרפובליקה העממית של סין
חוף השנהב,,,,,,Q1008,חוף השנהב
יוון,,,,,,Q41,יוון
יפן,,,,,,Q17,יפן
ירדן,,,,,,Q810,ירדן
ישראל,,,,,,Q801,ישראל
כווית,,,,,,Q817,כווית
כף ורדה,,,,,,Q1011,כף ורדה
לאוס,,,,,,Q819,לאוס
לבנון,,,,,,Q822,לבנון
לוב,,,,,,Q1016,לוב
לוקסמבורג,,,,,,Q32,לוקסמבורג
לטביה,,,,,,Q211,לטביה
ליבריה,,,,,,Q1014,ליבריה
ליטא,,,,,,Q37,ליטא
ליכטנשטיין,,,,,,Q347,ליכטנשטיין
לסוטו,,,,,,Q1013,לסוטו
מאוריטניה,,,,,,Q1025,מאוריטניה
מאוריציוס,,,,,,Q1027,מאוריציוס
מאלי,,,,,,Q912,מאלי
מדגסקר,,,,,,Q1019,מדגסקר
מוזמביק,,,,,,Q1029,מוזמביק
מולדובה,,,,,,Q217,מולדובה
מונגוליה,,,,,,Q711,מונגוליה
מונטנגרו,,,,,,Q236,מונטנגרו
מונטסראט,,,,,,Q13353,מונטסראט
מונקו,,,,,,Q235,מונקו
מזרח טימור,,,,,,Q574,מזרח טימור
מיאנמר,,,,,,Q836,מיאנמר
מיקרונזיה,,,,,,Q702,מיקרונזיה
מלאווי,,,,,,Q1020,מלאווי
מלזיה,,,,,,Q833,מלזיה
מלטה,,,,,,Q233,מלטה
מצרים,,,,,,Q79,מצרים
מקאו,,,,,,Q14773,מקאו
מקדוניה הצפונית,,,,,,Q221,מקדוניה הצפונית
מקסיקו,,,,,,Q96,מקסיקו
מרוקו,,,,,,Q1028,מרוקו
מרטיניק,,,,,,Q17054,מרטיניק
נאורו,,,,,,Q697,נאורו
נבאסה (אי),,,,,,Q25359,נבאסה (אי)
נורווגיה,,,,,,Q20,נורווגיה
ניגריה,,,,,,Q1033,ניגריה
ניו זילנד,,,,,,Q664,ניו זילנד
ניז'ר,,,,,,Q1032,ניז'ר
ניקרגואה,,,,,,Q811,ניקרגואה
נמיביה,,,,,,Q1030,נמיביה
נפאל,,,,,,Q837,נפאל
עומאן,,,,,,Q842,עומאן
עיראק,,,,,,Q796,עיראק
פיג'י,,,,,,Q712,פיג'י
פינלנד,,,,,,Q33,פינלנד
פלאו,,,,,,Q695,פלאו
פנמה,,,,,,Q804,פנמה
פפואה גינאה החדשה,,,,,,Q691,פפואה גינאה החדשה
פקיסטן,,,,,,Q843,פקיסטן
פרגוואי,,,,,,Q733,פרגוואי
צ'אד,,,,,,Q657,צ'אד
צ'ילה,,,,,,Q298,צ'ילה
צ'כיה,,,,,,Q213,צ'כיה
צפון אירלנד,,,,,,Q26,צפון אירלנד
צפון קפריסין,,,,,,Q23681,צפון קפריסין
צרפת,,,,,,Q142,צרפת
קובה,,,,,,Q241,קובה
קולומביה,,,,,,Q739,קולומביה
קומורו,,,,,,Q970,קומורו
קוסובו,,,,,,Q1246,קוסובו
קוסטה ריקה,,,,,,Q800,קוסטה ריקה
קוראסאו,,,,,,Q25279,קוראסאו
קוריאה הצפונית,,,,,,Q423,קוריאה הצפונית
קזחסטן,,,,,,Q232,קזחסטן
קירגיזסטן,,,,,,Q813,קירגיזסטן
קיריבטי,,,,,,Q710,קיריבטי
קליפרטון,,,,,,Q161258,קליפרטון
קמבודיה,,,,,,Q424,קמבודיה
קמרון,,,,,,Q1009,קמרון
קנדה,,,,,,Q16,קנדה
קניה,,,,,,Q114,קניה
קפריסין,,,,,,Q229,קפריסין
קרואטיה,,,,,,Q224,קרואטיה
