name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
,,,,,,Q22,Scotland
,,,,,,Q1041,Senegal
,,,,,,Q403,Serbia
,,,,,,Q1042,Seychelles
,,,,,,Q1044,Sierra Leone
,,,,,,Q334,Singapore
,,,,,,Q26180,Sint Eustatius
,,,,,,Q26273,Sint Maarten
,,,,,,Q214,Slovakia
,,,,,,Q215,Slovenia
,,,,,,Q685,Solomon Islands
,,,,,,Q1045,Somalia
,,,,,,Q34754,Somaliland
,,,,,,Q258,South Africa
,,,,,,Q35086,South Georgia and the South Sandwich Islands
,,,,,,Q884,South Korea
,,,,,,Q23427,South Ossetia
,,,,,,Q958,South Sudan
,,,,,,Q29,Spain
,,,,,,Q854,Sri Lanka
,,,,,,Q219060,State of Palestine
,,,,,,Q1049,Sudan
,,,,,,Q730,Suriname
,,,,,,Q25231,Svalbard
,,,,,,Q34,Sweden
,,,,,,Q39,Switzerland
,,,,,,Q858,Syria
,,,,,,Q1039,São Tomé and Príncipe
,,,,,,Q865,Taiwan
,,,,,,Q863,Tajikistan
,,,,,,Q924,Tanzania
,,,,,,Q869,Thailand
,,,,,,Q778,The Bahamas
,,,,,,Q1005,The Gambia
,,,,,,Q945,Togo
,,,,,,Q678,Tonga
,,,,,,Q907112,Transnistria
,,,,,,Q754,Trinidad and Tobago
,,,,,,Q948,Tunisia
,,,,,,Q43,Turkey
,,,,,,Q874,Turkmenistan
,,,,,,Q18221,Turks and Caicos Islands
,,,,,,Q672,Tuvalu
,,,,,,Q1036,Uganda
,,,,,,Q212,Ukraine
,,,,,,Q878,United Arab Emirates
,,,,,,Q145,United Kingdom
,,,,,,Q30,United States
,,,,,,Q11703,United States Virgin Islands
,,,,,,Q400506,Unknown
,,,,,,Q77,Uruguay
,,,,,,Q265,Uzbekistan
,,,,,,Q686,Vanuatu
,,,,,,Q237,Vatican City
,,,,,,Q717,Venezuela
,,,,,,Q881,Vietnam
,,,,,WAL,Q25,Wales
,,,,,,Q805,Yemen
,,,,,,Q953,Zambia
,,,,,,Q954,Zimbabwe
,,,,,,Q5689,Åland
Abchazja,,,,,,Q23334,Abchazja
Afganistan,004,AF,AFG,AFG,AFG,Q889,Afganistan
Akrotiri i Dhekelia,,,,,,Q37362,Akrotiri i Dhekelia
Albania,,,,,,Q222,Albania
Algieria,,,,,,Q262,Algieria
Andora,,,,,,Q228,Andora
Anglia,,,,,,Q21,Anglia
Angola,,,,,,Q916,Angola
Anguilla,,,,,,Q25228,Anguilla
Antigua i Barbuda,,,,,,Q781,Antigua i Barbuda
Argentyna,,,,,,Q414,Argentyna
Armenia,,,,,,Q399,Armenia
Aruba,,,,,,Q21203,Aruba
Australia,,,,,,Q408,Australia
Austria,040,AT,AUT,AUT,AUT,Q40,Austria
Azerbejdżan,,,,,,Q227,Azerbejdżan
Bahrajn,,,,,,Q398,Bahrajn
Bangladesz,,,,,,Q902,Bangladesz
Barbados,,,,,,Q244,Barbados
Belgia,,,,,,Q31,Belgia
Belize,,,,,,Q242,Belize
Benin,,,,,,Q962,Benin
Bermudy,,,,,,Q23635,Bermudy
Bhutan,,,,,,Q917,Bhutan
Białoruś,,,,,,Q184,Białoruś
Boliwia,,,,,,Q750,Boliwia
Bonaire,,,,,,Q25396,Bonaire
Botswana,,,,,,Q963,Botswana
Bośnia i Hercegowina,,,,,,Q225,Bośnia i Hercegowina
Brazylia,,,,,,Q155,Brazylia
Brunei,,,,,,Q921,Brunei
Brytyjskie Terytorium Oceanu Indyjskiego,,,,,,Q43448,Brytyjskie Terytorium Oceanu Indyjskiego
Brytyjskie Wyspy Dziewicze,,,,,,Q25305,Brytyjskie Wyspy Dziewicze
Burkina Faso,,,,,,Q965,Burkina Faso
Burundi,,,,,,Q967,Burundi
Bułgaria,,,,,,Q219,Bułgaria
Chile,,,,,,Q298,Chile
Chińska Republika Ludowa,,,,,,Q148,Chińska Republika Ludowa
Chorwacja,,,,,,Q224,Chorwacja
Curaçao,,,,,,Q25279,Curaçao
Cypr,,,,,,Q229,Cypr
Czad,,,,,,Q657,Czad
Czechy,,,,,,Q213,Czechy
Dania,,,,,,Q35,Dania
Demokratyczna Republika Konga,,,,,,Q974,Demokratyczna Republika Konga
Dominika,,,,,,Q784,Dominika
Dominikana,,,,,,Q786,Dominikana
Dżibuti,,,,,,Q977,Dżibuti
Egipt,,,,,,Q79,Egipt
Ekwador,,,,,,Q736,Ekwador
Erytrea,,,,,,Q986,Erytrea
Estonia,,,,,,Q191,Estonia
Eswatini,,,,,,Q1050,Eswatini
Etiopia,,,,,,Q115,Etiopia
Falklandy,,,,,,Q9648,Falklandy
Fidżi,,,,,,Q712,Fidżi
Finlandia,,,,,,Q33,Finlandia
Francja,,,,,,Q142,Francja
Gabon,,,,,,Q1000,Gabon
Ghana,,,,,,Q117,Ghana
Gibraltar,,,,,,Q1410,Gibraltar
Grecja,,,,,,Q41,Grecja
Grenada,,,,,,Q769,Grenada
Grenlandia,,,,,,Q223,Grenlandia
Gruzja,,,,,,Q230,Gruzja
Gujana,,,,,,Q734,Gujana
Gujana Francuska,,,,,,Q3769,Gujana Francuska
Gwadelupa,,,,,,Q17012,Gwadelupa
Gwatemala,,,,,,Q774,Gwatemala
Gwinea,,,,,,Q1006,Gwinea
Gwinea Bissau,,,,,,Q1007,Gwinea Bissau
Gwinea Równikowa,,,,,,Q983,Gwinea Równikowa
Górski Karabach,,,,,,Q244165,Górski Karabach
Haiti,,,,,,Q790,Haiti
Honduras,,,,,,Q783,Honduras
Hongkong,,,,,,Q8646,Hongkong
Indie,,,,,,Q668,Indie
Indonezja,,,,,,Q252,Indonezja
Irak,,,,,,Q796,Irak
Iran,,,,,,Q794,Iran
Irlandia,,,,,,Q27,Irlandia
Islandia,,,,,,Q189,Islandia
Izrael,,,,,,Q801,Izrael
Kajmany (wyspy),,,,,,Q5785,Kajmany (wyspy)
Kambodża,,,,,,Q424,Kambodża
Kamerun,,,,,,Q1009,Kamerun
Kanada,,,,,,Q16,Kanada
Kolumbia,,,,,,Q739,Kolumbia
Komory,,,,,,Q970,Komory
Kostaryka,,,,,,Q800,Kostaryka
Kuba,,,,,,Q241,Kuba
Mikronezja,,,,,,Q702,Mikronezja
Niemcy,,,,,,Q183,Niemcy
Republika Zielonego Przylądka,,,,,,Q1011,Republika Zielonego Przylądka
Republika Środkowoafrykańska,,,,,,Q929,Republika Środkowoafrykańska
Salwador,,,,,,Q792,Salwador
Timor Wschodni,,,,,,Q574,Timor Wschodni
Wybrzeże Kości Słoniowej,,,,,,Q1008,Wybrzeże Kości Słoniowej
Wyspa Bożego Narodzenia,,,,,,Q31063,Wyspa Bożego Narodzenia
Wyspa Clippertona,,,,,,Q161258,Wyspa Clippertona
Wyspa Man,,,,,,Q9676,Wyspa Man
Wyspy Kokosowe,,,,,,Q36004,Wyspy Kokosowe
Wyspy Owcze,,,,,,Q4628,Wyspy Owcze
Węgry,,,,,,Q28,Węgry
Włochy,,,,,,Q38,Włochy
